dataset	record_type	gate	biological_unit	condition_or_day	module	selected_cell_count	module_score	endpoint_mean	naive_control_mean	endpoint_minus_naive_delta	direction
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	AB-1_S10	alkali_burn_endpoint	Contractile	2800	0.7761531178388427	0.7942382400086521	0.06536395379792649	0.7288742862107256	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	AB-2_S11	alkali_burn_endpoint	Contractile	3502	1.0837360827198352	0.7942382400086521	0.06536395379792649	0.7288742862107256	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	AB-3_S12	alkali_burn_endpoint	Contractile	1874	0.5228255194672783	0.7942382400086521	0.06536395379792649	0.7288742862107256	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	Naive-1_S13	naive_control	Contractile	3818	0.07832688327199672	0.7942382400086521	0.06536395379792649	0.7288742862107256	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	Naive-2_S14	naive_control	Contractile	3345	0.03781215975213358	0.7942382400086521	0.06536395379792649	0.7288742862107256	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	Naive-3_S15	naive_control	Contractile	3169	0.07995281836964915	0.7942382400086521	0.06536395379792649	0.7288742862107256	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	AB-1_S10	alkali_burn_endpoint	Matricellular	2800	0.47380731479621163	0.50865089764899	0.15788516202263683	0.35076573562635316	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	AB-2_S11	alkali_burn_endpoint	Matricellular	3502	0.6965413304362593	0.50865089764899	0.15788516202263683	0.35076573562635316	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	AB-3_S12	alkali_burn_endpoint	Matricellular	1874	0.3556040477144989	0.50865089764899	0.15788516202263683	0.35076573562635316	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	Naive-1_S13	naive_control	Matricellular	3818	0.1423612450267311	0.50865089764899	0.15788516202263683	0.35076573562635316	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	Naive-2_S14	naive_control	Matricellular	3345	0.1901265892948137	0.50865089764899	0.15788516202263683	0.35076573562635316	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	Naive-3_S15	naive_control	Matricellular	3169	0.14116765174636567	0.50865089764899	0.15788516202263683	0.35076573562635316	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	AB-1_S10	alkali_burn_endpoint	LOX/LOXL2	2800	0.5171700355303499	0.4984744778554438	0.32923325265262093	0.16924122520282286	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	AB-2_S11	alkali_burn_endpoint	LOX/LOXL2	3502	0.5372372370344322	0.4984744778554438	0.32923325265262093	0.16924122520282286	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	AB-3_S12	alkali_burn_endpoint	LOX/LOXL2	1874	0.4410161610015496	0.4984744778554438	0.32923325265262093	0.16924122520282286	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	Naive-1_S13	naive_control	LOX/LOXL2	3818	0.3098391163687007	0.4984744778554438	0.32923325265262093	0.16924122520282286	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	Naive-2_S14	naive_control	LOX/LOXL2	3345	0.38721338775848624	0.4984744778554438	0.32923325265262093	0.16924122520282286	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	Naive-3_S15	naive_control	LOX/LOXL2	3169	0.29064725383067586	0.4984744778554438	0.32923325265262093	0.16924122520282286	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	AB-1_S10	alkali_burn_endpoint	ECM remodeling	2800	0.3295797942600787	0.34943407810760724	0.19164228539582576	0.15779179271178148	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	AB-2_S11	alkali_burn_endpoint	ECM remodeling	3502	0.44971329093549745	0.34943407810760724	0.19164228539582576	0.15779179271178148	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	AB-3_S12	alkali_burn_endpoint	ECM remodeling	1874	0.26900914912724544	0.34943407810760724	0.19164228539582576	0.15779179271178148	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	Naive-1_S13	naive_control	ECM remodeling	3818	0.18444838575651396	0.34943407810760724	0.19164228539582576	0.15779179271178148	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	Naive-2_S14	naive_control	ECM remodeling	3345	0.2523238981070939	0.34943407810760724	0.19164228539582576	0.15779179271178148	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	Naive-3_S15	naive_control	ECM remodeling	3169	0.13815457232386943	0.34943407810760724	0.19164228539582576	0.15779179271178148	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	AB-1_S10	alkali_burn_endpoint	Keratocyte-associated identity	2800	0.6090092547883881	0.6955481800614886	1.0939882998612547	-0.3984401197997661	negative
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	AB-2_S11	alkali_burn_endpoint	Keratocyte-associated identity	3502	0.6748384573806558	0.6955481800614886	1.0939882998612547	-0.3984401197997661	negative
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	AB-3_S12	alkali_burn_endpoint	Keratocyte-associated identity	1874	0.8027968280154215	0.6955481800614886	1.0939882998612547	-0.3984401197997661	negative
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	Naive-1_S13	naive_control	Keratocyte-associated identity	3818	1.1034737385046747	0.6955481800614886	1.0939882998612547	-0.3984401197997661	negative
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	Naive-2_S14	naive_control	Keratocyte-associated identity	3345	1.087080619564034	0.6955481800614886	1.0939882998612547	-0.3984401197997661	negative
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	Naive-3_S15	naive_control	Keratocyte-associated identity	3169	1.0914105415150557	0.6955481800614886	1.0939882998612547	-0.3984401197997661	negative
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	AB-1_S10	alkali_burn_endpoint	strict KERA/LUM/DCN/PTGDS core	2800	0.5919901220455084	0.6668077999400647	1.1077125530647665	-0.4409047531247018	negative
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	AB-2_S11	alkali_burn_endpoint	strict KERA/LUM/DCN/PTGDS core	3502	0.6266562749885116	0.6668077999400647	1.1077125530647665	-0.4409047531247018	negative
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	AB-3_S12	alkali_burn_endpoint	strict KERA/LUM/DCN/PTGDS core	1874	0.781777002786174	0.6668077999400647	1.1077125530647665	-0.4409047531247018	negative
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	Naive-1_S13	naive_control	strict KERA/LUM/DCN/PTGDS core	3818	1.1189312747145639	0.6668077999400647	1.1077125530647665	-0.4409047531247018	negative
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	Naive-2_S14	naive_control	strict KERA/LUM/DCN/PTGDS core	3345	1.1043293207149136	0.6668077999400647	1.1077125530647665	-0.4409047531247018	negative
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	Naive-3_S15	naive_control	strict KERA/LUM/DCN/PTGDS core	3169	1.099877063764821	0.6668077999400647	1.1077125530647665	-0.4409047531247018	negative
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	AB-1_S10	alkali_burn_endpoint	Collagen	2800	0.8258208094957901	0.8693663257628784	0.7955350163301897	0.07383130943268867	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	AB-2_S11	alkali_burn_endpoint	Collagen	3502	0.9676367681959291	0.8693663257628784	0.7955350163301897	0.07383130943268867	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	AB-3_S12	alkali_burn_endpoint	Collagen	1874	0.8146413995969163	0.8693663257628784	0.7955350163301897	0.07383130943268867	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	Naive-1_S13	naive_control	Collagen	3818	0.8175596053852497	0.8693663257628784	0.7955350163301897	0.07383130943268867	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	Naive-2_S14	naive_control	Collagen	3345	0.8241675101561377	0.8693663257628784	0.7955350163301897	0.07383130943268867	positive
GSE302936	animal_score	PRIMARY_ROUGH_CELL_TYPE	Naive-3_S15	naive_control	Collagen	3169	0.744877933449182	0.8693663257628784	0.7955350163301897	0.07383130943268867	positive
GSE302936	animal_score	NEGSEL_STRICT	AB-1_S10	alkali_burn_endpoint	Contractile	1538	0.7585317325544274	0.8051394186682077	0.016001911650923354	0.7891375070172844	positive
GSE302936	animal_score	NEGSEL_STRICT	AB-2_S11	alkali_burn_endpoint	Contractile	1442	1.1068375543195927	0.8051394186682077	0.016001911650923354	0.7891375070172844	positive
GSE302936	animal_score	NEGSEL_STRICT	AB-3_S12	alkali_burn_endpoint	Contractile	746	0.550048969130603	0.8051394186682077	0.016001911650923354	0.7891375070172844	positive
GSE302936	animal_score	NEGSEL_STRICT	Naive-1_S13	naive_control	Contractile	1059	0.041490690732912366	0.8051394186682077	0.016001911650923354	0.7891375070172844	positive
GSE302936	animal_score	NEGSEL_STRICT	Naive-2_S14	naive_control	Contractile	748	-0.013522923678603086	0.8051394186682077	0.016001911650923354	0.7891375070172844	positive
GSE302936	animal_score	NEGSEL_STRICT	Naive-3_S15	naive_control	Contractile	1074	0.02003796789846079	0.8051394186682077	0.016001911650923354	0.7891375070172844	positive
