dataset	record_type	gate	biological_unit	rabbit_id	condition_or_day	module	selected_cell_count	module_score	injured_minus_control_residual	day7_mean_residual	day28_mean_residual	cross_sectional_day7_minus_day28	direction
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689606	594E	Day7_FI	Contractile	4553.0	0.7224473177697301					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689606	594E	Day7_FI	Matricellular	4553.0	0.28636449359234084					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689606	594E	Day7_FI	LOX/LOXL2	4553.0	0.67278169590329					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689606	594E	Day7_FI	ECM remodeling	4553.0	0.2791946228023841					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689606	594E	Day7_FI	Keratocyte-associated identity	4553.0	0.4537175846391019					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689606	594E	Day7_FI	Inflammation-associated response	4553.0	0.2116029853762726					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689606	594E	Day7_FI	Collagen	4553.0	0.818511595315605					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689607	616E	Day7_FI	Contractile	3859.0	0.6498295186991813					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689607	616E	Day7_FI	Matricellular	3859.0	0.3614195646912536					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689607	616E	Day7_FI	LOX/LOXL2	3859.0	0.6191461326942725					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689607	616E	Day7_FI	ECM remodeling	3859.0	0.24228338826939114					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689607	616E	Day7_FI	Keratocyte-associated identity	3859.0	0.5252052717370786					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689607	616E	Day7_FI	Inflammation-associated response	3859.0	0.10305944516647712					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689607	616E	Day7_FI	Collagen	3859.0	0.9714453787266183					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689608	594E	Day7_Control	Contractile	6247.0	0.2506381098863969					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689608	594E	Day7_Control	Matricellular	6247.0	0.16479722002836947					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689608	594E	Day7_Control	LOX/LOXL2	6247.0	0.4014460640960707					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689608	594E	Day7_Control	ECM remodeling	6247.0	0.07103660349629447					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689608	594E	Day7_Control	Keratocyte-associated identity	6247.0	0.5952652700456641					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689608	594E	Day7_Control	Inflammation-associated response	6247.0	-0.00436263501846121					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689608	594E	Day7_Control	Collagen	6247.0	0.6819953846103441					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689609	616E	Day7_Control	Contractile	3845.0	0.3607001643023009					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689609	616E	Day7_Control	Matricellular	3845.0	0.23936127663040585					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689609	616E	Day7_Control	LOX/LOXL2	3845.0	0.5165326613874915					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689609	616E	Day7_Control	ECM remodeling	3845.0	0.04545402767073687					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689609	616E	Day7_Control	Keratocyte-associated identity	3845.0	0.5412861378239475					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689609	616E	Day7_Control	Inflammation-associated response	3845.0	-0.05817961484674771					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689609	616E	Day7_Control	Collagen	3845.0	0.8954136387582118					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689610	595E	Day28_FI	Contractile	4430.0	0.3213369205500758					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689610	595E	Day28_FI	Matricellular	4430.0	0.23858822471242505					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689610	595E	Day28_FI	LOX/LOXL2	4430.0	0.6552630318914551					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689610	595E	Day28_FI	ECM remodeling	4430.0	0.1453792764883392					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689610	595E	Day28_FI	Keratocyte-associated identity	4430.0	0.6638591139672673					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689610	595E	Day28_FI	Inflammation-associated response	4430.0	0.07370177394183557					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689610	595E	Day28_FI	Collagen	4430.0	0.9673308804337263					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689611	596E	Day28_FI	Contractile	2042.0	0.4216697486494222					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689611	596E	Day28_FI	Matricellular	2042.0	0.2517580346473301					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689611	596E	Day28_FI	LOX/LOXL2	2042.0	0.5771455851865448					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689611	596E	Day28_FI	ECM remodeling	2042.0	0.3484306415658981					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689611	596E	Day28_FI	Keratocyte-associated identity	2042.0	0.6761468683697373					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689611	596E	Day28_FI	Inflammation-associated response	2042.0	0.11441609819462084					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689611	596E	Day28_FI	Collagen	2042.0	1.0581157586341199					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689612	595E	Day28_Control	Contractile	2926.0	0.39992738001832334					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689612	595E	Day28_Control	Matricellular	2926.0	0.3027558776711824					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689612	595E	Day28_Control	LOX/LOXL2	2926.0	0.6525809544705657					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689612	595E	Day28_Control	ECM remodeling	2926.0	0.10851230593945208					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689612	595E	Day28_Control	Keratocyte-associated identity	2926.0	0.7862843295037248					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689612	595E	Day28_Control	Inflammation-associated response	2926.0	0.030996458052046573					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689612	595E	Day28_Control	Collagen	2926.0	1.011054990653545					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689613	596E	Day28_Control	Contractile	2431.0	0.39181681596547485					
GSE328779	eye_score	PRIMARY_ROUGH_CELL_TYPE	GSM9689613	596E	Day28_Control	Matricellular	2431.0	0.30061648381195505					
