definition	requested_genes	available_genes	missing_genes	animal	condition	animal_score	endpoint_mean	naive_control_mean	endpoint_minus_naive	direction
keratocyte_associated_identity_KRT12_excluded	KERA;LUM;DCN;ALDH3A1;AQP1;PTGDS	KERA;LUM;DCN;AQP1;PTGDS	ALDH3A1	AB-1_S10	alkali_burn_endpoint	0.6090092547883881	0.6955481800614886	1.0939882998612547	-0.3984401197997661	negative
keratocyte_associated_identity_KRT12_excluded	KERA;LUM;DCN;ALDH3A1;AQP1;PTGDS	KERA;LUM;DCN;AQP1;PTGDS	ALDH3A1	AB-2_S11	alkali_burn_endpoint	0.6748384573806557	0.6955481800614886	1.0939882998612547	-0.3984401197997661	negative
keratocyte_associated_identity_KRT12_excluded	KERA;LUM;DCN;ALDH3A1;AQP1;PTGDS	KERA;LUM;DCN;AQP1;PTGDS	ALDH3A1	AB-3_S12	alkali_burn_endpoint	0.8027968280154216	0.6955481800614886	1.0939882998612547	-0.3984401197997661	negative
keratocyte_associated_identity_KRT12_excluded	KERA;LUM;DCN;ALDH3A1;AQP1;PTGDS	KERA;LUM;DCN;AQP1;PTGDS	ALDH3A1	Naive-1_S13	naive_control	1.1034737385046747	0.6955481800614886	1.0939882998612547	-0.3984401197997661	negative
keratocyte_associated_identity_KRT12_excluded	KERA;LUM;DCN;ALDH3A1;AQP1;PTGDS	KERA;LUM;DCN;AQP1;PTGDS	ALDH3A1	Naive-2_S14	naive_control	1.087080619564034	0.6955481800614886	1.0939882998612547	-0.3984401197997661	negative
keratocyte_associated_identity_KRT12_excluded	KERA;LUM;DCN;ALDH3A1;AQP1;PTGDS	KERA;LUM;DCN;AQP1;PTGDS	ALDH3A1	Naive-3_S15	naive_control	1.0914105415150557	0.6955481800614886	1.0939882998612547	-0.3984401197997661	negative
strict_keratocyte_core	KERA;LUM;DCN;PTGDS	KERA;LUM;DCN;PTGDS		AB-1_S10	alkali_burn_endpoint	0.5919901220455084	0.6668077999400647	1.1077125530647665	-0.4409047531247018	negative
strict_keratocyte_core	KERA;LUM;DCN;PTGDS	KERA;LUM;DCN;PTGDS		AB-2_S11	alkali_burn_endpoint	0.6266562749885116	0.6668077999400647	1.1077125530647665	-0.4409047531247018	negative
strict_keratocyte_core	KERA;LUM;DCN;PTGDS	KERA;LUM;DCN;PTGDS		AB-3_S12	alkali_burn_endpoint	0.781777002786174	0.6668077999400647	1.1077125530647665	-0.4409047531247018	negative
strict_keratocyte_core	KERA;LUM;DCN;PTGDS	KERA;LUM;DCN;PTGDS		Naive-1_S13	naive_control	1.118931274714564	0.6668077999400647	1.1077125530647665	-0.4409047531247018	negative
strict_keratocyte_core	KERA;LUM;DCN;PTGDS	KERA;LUM;DCN;PTGDS		Naive-2_S14	naive_control	1.1043293207149136	0.6668077999400647	1.1077125530647665	-0.4409047531247018	negative
strict_keratocyte_core	KERA;LUM;DCN;PTGDS	KERA;LUM;DCN;PTGDS		Naive-3_S15	naive_control	1.099877063764821	0.6668077999400647	1.1077125530647665	-0.4409047531247018	negative
